Code,sex,Census
0,1,58158
1,1,58020
2,0,58719
3,1,59970
4,1,60054
5,0,64164
6,1,63531
7,0,65085
8,1,65289
9,1,64563
10,0,64962
11,1,62151
12,0,59865
13,1,59679
14,0,59190
15,1,58398
16,0,60108
17,1,62334
18,0,60933
19,1,60048
20,0,61956
21,1,62382
22,0,63699
23,1,64197
24,1,65166
25,0,68325
26,1,69627
27,1,70848
28,1,68418
29,1,67248
30,0,66876
31,1,63813
32,1,62847
33,1,61896
34,1,61602
35,1,61359
36,1,59571
37,1,59037
38,1,58557
39,1,56871
40,1,56517
41,1,56760
42,1,57006
43,1,59844
44,1,61218
45,1,63939
46,1,65271
47,1,64956
48,0,63942
49,1,63375
50,1,62034
51,0,60645
52,1,60669
53,1,61833
54,0,63408
55,1,63894
56,1,62463
57,0,60735
58,1,58629
59,1,57030
60,1,55539
61,1,53571
62,1,52215
63,1,50673
64,1,48903
65,1,48318
66,1,46455
67,1,45678
68,1,44778
69,1,43803
70,1,43809
71,1,41526
72,1,35760
73,1,32496
74,0,30045
75,1,28332
76,1,29481
77,1,27885
78,1,24519
79,1,22575
80,1,20325
81,1,18507
82,0,16500
83,0,15837
84,0,14193
85,0,12939
86,0,12003
87,0,11238
88,0,9618
89,0,8181
90,0,6828
91,0,5745
92,0,4710
93,0,3693
94,0,2841
95,0,2079
96,0,1587
97,0,1110
98,0,708
99,0,426
100,0,246
101,0,168
102,0,102
103,0,57
104,0,33
105,0,18
106,0,12
107,0,3
108,0,3
109,0,3
110,0,0
111,0,0
112,0,0
113,0,0
114,1,0
115,0,0
